"Index","GSPC.Adjusted","AAA","DGS1","GSPC.Adjusted.1"
"1989-01-04",279.429993,9.62,9.14,0.0148540607153285
"1989-01-05",280.01001,9.62,9.22,0.00207356358041189
"1989-01-06",280.670013,9.62,9.2,0.00235429577575808
"1989-01-09",280.980011,9.62,9.18,0.00110388326620647
"1989-01-10",280.380005,9.62,9.15,-0.00213768779886792
"1989-01-11",282.01001,9.62,9.17,0.00579672298870015
"1989-01-12",283.170013,9.62,9.06,0.00410490315174883
"1989-01-13",283.869995,9.62,8.99,0.00246889935695549
"1989-01-16",284.140015,9.62,8.99,0.000950757964072402
"1989-01-17",283.549988,9.62,9.03,-0.0020786950953493
"1989-01-18",286.529999,9.62,8.95,0.0104548070852619
"1989-01-19",286.910004,9.62,8.91,0.0013253524471164
"1989-01-20",286.630005,9.62,8.93,-0.0009763888058405
"1989-01-23",284.5,9.62,8.95,-0.00745894929961022
"1989-01-24",288.48999,9.62,8.91,0.0139271350727181
"1989-01-25",289.140015,9.62,9,0.00225066311917477
"1989-01-26",291.690002,9.62,9.03,0.0087805495879909
"1989-01-27",293.820007,9.62,8.98,0.00727575742012121
"1989-01-30",294.98999,9.62,9,0.00397406479432938
"1989-01-31",297.470001,9.62,9.04,0.00837195936578539
"1989-02-01",297.089996,9.64,9.02,-0.00127827318911766
"1989-02-02",296.839996,9.64,9.03,-0.000841850110727904
"1989-02-03",296.970001,9.64,9.17,0.000437867340509435
"1989-02-06",296.040009,9.64,9.18,-0.00313651623660682
"1989-02-07",299.630005,9.64,9.1,0.0120537860980727
"1989-02-08",298.649994,9.64,9.12,-0.00327609774072712
"1989-02-09",296.059998,9.64,9.12,-0.00871016935794966
"1989-02-10",292.019989,9.64,9.22,-0.0137398743251937
"1989-02-13",292.540009,9.64,9.27,0.00177918481920081
"1989-02-14",291.809998,9.64,9.31,-0.002498541528281
"1989-02-15",294.23999,9.64,9.29,0.00829282817446408
"1989-02-16",294.809998,9.64,9.25,0.00193534738826617
"1989-02-17",296.76001,9.64,9.25,0.00659269076017388
